,Name,AHA ID,Hospital ID,Cancer Ranking,Cancer Ranking Tied?,Cancer Ranking Revoked?,Cancer Ranking Specialty ID,Cancer Ranking PrettyPrinter,Cancer Care Score,Updated
46,University of Kansas Hospital,6670510,6670510,46.0,True,False,IHQCANC,adult,54.5/100,2023-01-04 19:41:01.724154
47,Queen's Medical Center,6950380,6950380,48.0,True,False,IHQCANC,adult,54.4/100,2023-01-04 19:41:01.724154
48,Sylvester Comprehensive Cancer Center-University of Miami Hospital and Clinics,6390610,6390610,48.0,True,False,IHQCANC,adult,54.4/100,2023-01-04 19:41:01.724154
49,Lenox Hill Hospital at Northwell Health,6212990,6212990,50.0,False,False,IHQCANC,adult,54.1/100,2023-01-04 19:41:01.724154
50,University of Alabama at Birmingham Hospital,6530304,6530304,,,,IHQCANC,adult,54.0/100,2023-01-04 19:41:01.724154
51,MUSC Health-University Medical Center,6370085,6370085,,,,IHQCANC,adult,53.5/100,2023-01-04 19:41:01.724154
52,Fred & Pamela Buffett Cancer Center,6660005,6660005,,,,IHQCANC,adult,53.3/100,2023-01-04 19:41:01.724154
53,Long Island Jewish Medical Center at Northwell Health,6211680,6211680,,,,IHQCANC,adult,53.3/100,2023-01-04 19:41:01.724154
54,UW Health University Hospital,6450820,6450820,,,,IHQCANC,adult,53.3/100,2023-01-04 19:41:01.724154
55,Mayo Clinic-Jacksonville,6390380,6390380,,,,IHQCANC,adult,52.9/100,2023-01-04 19:41:01.724154
56,Fox Chase Cancer Center,6231660,6231660,,,,IHQCANC,adult,52.7/100,2023-01-04 19:41:01.724154
57,Smilow Cancer Hospital at Yale New Haven,6160400,6160400,,,,IHQCANC,adult,52.6/100,2023-01-04 19:41:01.724154
58,University Hospitals Seidman Cancer Center,6410920,6410920,,,,IHQCANC,adult,52.6/100,2023-01-04 19:41:01.724154
59,University of Virginia Medical Center,6344000,6344000,,,,IHQCANC,adult,52.4/100,2023-01-04 19:41:01.724154
60,Baptist Health Miami Cancer Institute,6390578,6390578,,,,IHQCANC,adult,52.1/100,2023-01-04 19:41:01.724154
61,Baylor University Medical Center,6740900,6740900,,,,IHQCANC,adult,52.1/100,2023-01-04 19:41:01.724154
62,Loma Linda University Medical Center,6930053,6930053,,,,IHQCANC,adult,51.6/100,2023-01-04 19:41:01.724154
63,VCU Medical Center,6340860,6340860,,,,IHQCANC,adult,51.5/100,2023-01-04 19:41:01.724154
64,University of Colorado Cancer Center-UCHealth University of Colorado Hospital,6840430,6840430,,,,IHQCANC,adult,50.9/100,2023-01-04 19:41:01.724154
65,University of Iowa Hospitals and Clinics,6620765,6620765,,,,IHQCANC,adult,50.9/100,2023-01-04 19:41:01.724154
66,Dartmouth Hitchcock Medical Center,6120170,6120170,,,,IHQCANC,adult,50.8/100,2023-01-04 19:41:01.724154
67,St. Francis Hospital & Heart Center,6214410,6214410,,,,IHQCANC,adult,50.6/100,2023-01-04 19:41:01.724154
68,Levine Cancer Institute,6360280,6360280,,,,IHQCANC,adult,50.0/100,2023-01-04 19:41:01.724154
69,University of Maryland Medical Center,6320330,6320330,,,,IHQCANC,adult,50.0/100,2023-01-04 19:41:01.724154
70,Advocate Christ Medical Center,6432413,6432413,,,,IHQCANC,adult,49.6/100,2023-01-04 19:41:01.724154
71,Henry Ford Hospital,6440650,6440650,,,,IHQCANC,adult,49.5/100,2023-01-04 19:41:01.724154
72,Tampa General Hospital,6391060,6391060,,,,IHQCANC,adult,49.5/100,2023-01-04 19:41:01.724154
73,UNC Hospitals,6360260,6360260,,,,IHQCANC,adult,49.4/100,2023-01-04 19:41:01.724154
74,Presbyterian-St. Luke's Medical Center,6840365,6840365,,,,IHQCANC,adult,49.1/100,2023-01-04 19:41:01.724154
75,Roswell Park Comprehensive Cancer Center,6211120,6211120,,,,IHQCANC,adult,48.9/100,2023-01-04 19:41:01.724154
76,Northwestern Medicine Lake Forest Hospital,6432060,6432060,,,,IHQCANC,adult,48.8/100,2023-01-04 19:41:01.724154
77,University Health-San Antonio,6743105,6743105,,,,IHQCANC,adult,48.1/100,2023-01-04 19:41:01.724154
78,WVU Cancer Institute,6350007,6350007,,,,IHQCANC,adult,48.0/100,2023-01-04 19:41:01.724154
79,Emory St. Joseph's Hospital,6380200,6380200,,,,IHQCANC,adult,47.6/100,2023-01-04 19:41:01.724154
80,Rutgers Cancer Institute of New Jersey/Robert Wood Johnson University Hospital,6220920,6220920,,,,IHQCANC,adult,47.6/100,2023-01-04 19:41:01.724154
81,Boston Medical Center,6140010,6140010,,,,IHQCANC,adult,47.4/100,2023-01-04 19:41:01.724154
82,MemorialCare Long Beach Medical Center,6931370,6931370,,,,IHQCANC,adult,47.4/100,2023-01-04 19:41:01.724154
83,Hackensack University Medical Center at Hackensack Meridian Health,6220340,6220340,,,,IHQCANC,adult,47.3/100,2023-01-04 19:41:01.724154
84,MedStar Washington Hospital Center,6330120,6330120,,,,IHQCANC,adult,47.3/100,2023-01-04 19:41:01.724154
85,West Penn Hospital,6232690,6232690,,,,IHQCANC,adult,47.2/100,2023-01-04 19:41:01.724154
86,MemorialCare Orange Coast Medical Center,6930775,6930775,,,,IHQCANC,adult,47.1/100,2023-01-04 19:41:01.724154
87,Beaumont Hospital-Royal Oak,6442245,6442245,,,,IHQCANC,adult,47.0/100,2023-01-04 19:41:01.724154
88,Scripps La Jolla Hospitals,6931130,6931130,,,,IHQCANC,adult,47.0/100,2023-01-04 19:41:01.724154
89,Banner Gateway Medical Center,6860043,6860043,,,,IHQCANC,adult,46.9/100,2023-01-04 19:41:01.724154
90,MetroHealth Medical Center,6410655,6410655,,,,IHQCANC,adult,46.9/100,2023-01-04 19:41:01.724154
91,Atrium Health Wake Forest Baptist Medical Center,6361700,6361700,,,,IHQCANC,adult,46.5/100,2023-01-04 19:41:01.724154
92,Northside Hospital Atlanta,6380171,6380171,,,,IHQCANC,adult,46.5/100,2023-01-04 19:41:01.724154
93,Loyola University Medical Center,6430841,6430841,,,,IHQCANC,adult,46.4/100,2023-01-04 19:41:01.724154
94,Banner-University Medical Center Tucson,6860516,6860516,,,,IHQCANC,adult,46.2/100,2023-01-04 19:41:01.724154
95,University Medical Center-Lubbock,6742372,6742372,,,,IHQCANC,adult,46.2/100,2023-01-04 19:41:01.724154
96,UF Health Shands Hospital,6390283,6390283,,,,IHQCANC,adult,45.8/100,2023-01-04 19:41:01.724154
97,Penn State Health Milton S. Hershey Medical Center,6230705,6230705,,,,IHQCANC,adult,45.6/100,2023-01-04 19:41:01.724154
98,OU Health Stephenson Cancer Center,6730024,6730024,,,,IHQCANC,adult,45.5/100,2023-01-04 19:41:01.724154
99,Providence Saint John's Health Center,6933450,6933450,,,,IHQCANC,adult,45.3/100,2023-01-04 19:41:01.724154
100,Avera McKennan Hospital and University Health Center,6650420,6650420,,,,IHQCANC,adult,45.2/100,2023-01-04 19:41:01.724154
101,Emory University Hospital Midtown,6380080,6380080,,,,IHQCANC,adult,45.2/100,2023-01-04 19:41:01.724154
102,Tufts Medical Center,6140465,6140465,,,,IHQCANC,adult,45.2/100,2023-01-04 19:41:01.724154
103,Mount Sinai Morningside and Mount Sinai West Hospitals,6213335,6213335,,,,IHQCANC,adult,45.1/100,2023-01-04 19:41:01.724154
104,Cleveland Clinic Hillcrest Hospital,6410945,6410945,,,,IHQCANC,adult,45.0/100,2023-01-04 19:41:01.724154
105,Stony Brook University Hospital,6214775,6214775,,,,IHQCANC,adult,45.0/100,2023-01-04 19:41:01.724154
106,Advocate Illinois Masonic Medical Center,6430024,6430024,,,,IHQCANC,adult,44.7/100,2023-01-04 19:41:01.724154
107,Morristown Medical Center,6220680,6220680,,,,IHQCANC,adult,44.7/100,2023-01-04 19:41:01.724154
108,Piedmont Atlanta Hospital,6380180,6380180,,,,IHQCANC,adult,44.7/100,2023-01-04 19:41:01.724154
109,Sharp Memorial Hospital,6932785,6932785,,,,IHQCANC,adult,44.7/100,2023-01-04 19:41:01.724154
110,NorthShore University Health System-Metro Chicago,6430021,6430021,,,,IHQCANC,adult,44.4/100,2023-01-04 19:41:01.724154
111,University of New Mexico Hospitals,6850037,6850037,,,,IHQCANC,adult,44.3/100,2023-01-04 19:41:01.724154
112,Saint Luke's Cancer Institute,6630470,6630470,,,,IHQCANC,adult,44.2/100,2023-01-04 19:41:01.724154
113,Sentara Norfolk General Hospital,6340620,6340620,,,,IHQCANC,adult,44.2/100,2023-01-04 19:41:01.724154
114,Indiana University Health Medical Center,6420020,6420020,,,,IHQCANC,adult,44.1/100,2023-01-04 19:41:01.724154
115,Karmanos Cancer Center,6440043,6440043,,,,IHQCANC,adult,43.9/100,2023-01-04 19:41:01.724154
116,Froedtert Hospital and the Medical College of Wisconsin,6452115,6452115,,,,IHQCANC,adult,43.8/100,2023-01-04 19:41:01.724154
117,Hoag Memorial Hospital Presbyterian,6932115,6932115,,,,IHQCANC,adult,43.6/100,2023-01-04 19:41:01.724154
118,Baylor Scott and White Medical Center-Temple,6743413,6743413,,,,IHQCANC,adult,43.5/100,2023-01-04 19:41:01.724154
119,Torrance Memorial Medical Center,6933679,6933679,,,,IHQCANC,adult,43.5/100,2023-01-04 19:41:01.724154
120,Upstate University Hospital,6214885,6214885,,,,IHQCANC,adult,43.4/100,2023-01-04 19:41:01.724154
121,Phelps Memorial Hospital Center at Northwell Health,6213870,6213870,,,,IHQCANC,adult,43.3/100,2023-01-04 19:41:01.724154
122,Stormont Vail Hospital,6671025,6671025,,,,IHQCANC,adult,43.2/100,2023-01-04 19:41:01.724154
123,Mount Sinai Beth Israel Hospital,6212655,6212655,,,,IHQCANC,adult,43.1/100,2023-01-04 19:41:01.724154
124,Marin General Hospital,6933370,6933370,,,,IHQCANC,adult,43.0/100,2023-01-04 19:41:01.724154
125,Inova Fairfax Hospital,6340490,6340490,,,,IHQCANC,adult,42.9/100,2023-01-04 19:41:01.724154
126,Lancaster General Hospital,6231120,6231120,,,,IHQCANC,adult,42.9/100,2023-01-04 19:41:01.724154
127,Sky Ridge Medical Center,6840023,6840023,,,,IHQCANC,adult,42.9/100,2023-01-04 19:41:01.724154
128,UNC Rex Hospital,6361210,6361210,,,,IHQCANC,adult,42.9/100,2023-01-04 19:41:01.724154
129,Baptist Health Cancer Care,6390994,6390994,,,,IHQCANC,adult,42.8/100,2023-01-04 19:41:01.724154
130,John Muir Health-Concord Medical Center,6930480,6930480,,,,IHQCANC,adult,42.6/100,2023-01-04 19:41:01.724154
131,John Muir Health-Walnut Creek Medical Center,6933853,6933853,,,,IHQCANC,adult,42.5/100,2023-01-04 19:41:01.724154
132,Cleveland Clinic Weston,6390205,6390205,,,,IHQCANC,adult,42.4/100,2023-01-04 19:41:01.724154
133,Advocate Lutheran General Hospital,6430405,6430405,,,,IHQCANC,adult,42.3/100,2023-01-04 19:41:01.724154
134,Greater Baltimore Medical Center,6320125,6320125,,,,IHQCANC,adult,42.2/100,2023-01-04 19:41:01.724154
135,Covenant Medical Center-Lubbock,6742360,6742360,,,,IHQCANC,adult,42.1/100,2023-01-04 19:41:01.724154
136,Banner-University Medical Center Phoenix,6860250,6860250,,,,IHQCANC,adult,42.0/100,2023-01-04 19:41:01.724154
137,Saint Joseph Hospital-Lexington,6510440,6510440,,,,IHQCANC,adult,41.9/100,2023-01-04 19:41:01.724154
138,Staten Island University Hospital at Northwell Health,6214735,6214735,,,,IHQCANC,adult,41.9/100,2023-01-04 19:41:01.724154
139,Main Line Health Paoli Hospital,6233430,6233430,,,,IHQCANC,adult,41.8/100,2023-01-04 19:41:01.724154
140,Medical City Dallas,6741025,6741025,,,,IHQCANC,adult,41.6/100,2023-01-04 19:41:01.724154
