,Name (Specialty),AHA ID,Hospital ID,Specialty ID,Specialty Score,Specialty Ranking,Specialty Ranking Tied?,Specialty Ranking Revoked?,Specialty Ranking Type,Updated
46,University of Kansas Hospital,6670510,6670510,IHQCANC,54.5/100,46.0,True,False,adult,2023-01-04 20:29:21.680567
47,Queen's Medical Center,6950380,6950380,IHQCANC,54.4/100,48.0,True,False,adult,2023-01-04 20:29:21.680567
48,Sylvester Comprehensive Cancer Center-University of Miami Hospital and Clinics,6390610,6390610,IHQCANC,54.4/100,48.0,True,False,adult,2023-01-04 20:29:21.680567
49,Lenox Hill Hospital at Northwell Health,6212990,6212990,IHQCANC,54.1/100,50.0,False,False,adult,2023-01-04 20:29:21.680567
50,University of Alabama at Birmingham Hospital,6530304,6530304,IHQCANC,54.0/100,,,,adult,2023-01-04 20:29:21.680567
51,MUSC Health-University Medical Center,6370085,6370085,IHQCANC,53.5/100,,,,adult,2023-01-04 20:29:21.680567
52,Fred & Pamela Buffett Cancer Center,6660005,6660005,IHQCANC,53.3/100,,,,adult,2023-01-04 20:29:21.680567
53,Long Island Jewish Medical Center at Northwell Health,6211680,6211680,IHQCANC,53.3/100,,,,adult,2023-01-04 20:29:21.680567
54,UW Health University Hospital,6450820,6450820,IHQCANC,53.3/100,,,,adult,2023-01-04 20:29:21.680567
55,Mayo Clinic-Jacksonville,6390380,6390380,IHQCANC,52.9/100,,,,adult,2023-01-04 20:29:21.680567
56,Fox Chase Cancer Center,6231660,6231660,IHQCANC,52.7/100,,,,adult,2023-01-04 20:29:21.680567
57,Smilow Cancer Hospital at Yale New Haven,6160400,6160400,IHQCANC,52.6/100,,,,adult,2023-01-04 20:29:21.680567
58,University Hospitals Seidman Cancer Center,6410920,6410920,IHQCANC,52.6/100,,,,adult,2023-01-04 20:29:21.680567
59,University of Virginia Medical Center,6344000,6344000,IHQCANC,52.4/100,,,,adult,2023-01-04 20:29:21.680567
60,Baptist Health Miami Cancer Institute,6390578,6390578,IHQCANC,52.1/100,,,,adult,2023-01-04 20:29:21.680567
61,Baylor University Medical Center,6740900,6740900,IHQCANC,52.1/100,,,,adult,2023-01-04 20:29:21.680567
62,Loma Linda University Medical Center,6930053,6930053,IHQCANC,51.6/100,,,,adult,2023-01-04 20:29:21.680567
63,VCU Medical Center,6340860,6340860,IHQCANC,51.5/100,,,,adult,2023-01-04 20:29:21.680567
64,University of Colorado Cancer Center-UCHealth University of Colorado Hospital,6840430,6840430,IHQCANC,50.9/100,,,,adult,2023-01-04 20:29:21.680567
65,University of Iowa Hospitals and Clinics,6620765,6620765,IHQCANC,50.9/100,,,,adult,2023-01-04 20:29:21.680567
66,Dartmouth Hitchcock Medical Center,6120170,6120170,IHQCANC,50.8/100,,,,adult,2023-01-04 20:29:21.680567
67,St. Francis Hospital and Heart Center,6214410,6214410,IHQCANC,50.6/100,,,,adult,2023-01-04 20:29:21.680567
68,Levine Cancer Institute,6360280,6360280,IHQCANC,50.0/100,,,,adult,2023-01-04 20:29:21.680567
69,University of Maryland Medical Center,6320330,6320330,IHQCANC,50.0/100,,,,adult,2023-01-04 20:29:21.680567
70,Advocate Christ Medical Center,6432413,6432413,IHQCANC,49.6/100,,,,adult,2023-01-04 20:29:21.680567
71,Henry Ford Hospital,6440650,6440650,IHQCANC,49.5/100,,,,adult,2023-01-04 20:29:21.680567
72,Tampa General Hospital,6391060,6391060,IHQCANC,49.5/100,,,,adult,2023-01-04 20:29:21.680567
73,UNC Hospitals,6360260,6360260,IHQCANC,49.4/100,,,,adult,2023-01-04 20:29:21.680567
74,Presbyterian-St. Luke's Medical Center,6840365,6840365,IHQCANC,49.1/100,,,,adult,2023-01-04 20:29:21.680567
75,Roswell Park Comprehensive Cancer Center,6211120,6211120,IHQCANC,48.9/100,,,,adult,2023-01-04 20:29:21.680567
76,Northwestern Medicine Lake Forest Hospital,6432060,6432060,IHQCANC,48.8/100,,,,adult,2023-01-04 20:29:21.680567
77,University Health-San Antonio,6743105,6743105,IHQCANC,48.1/100,,,,adult,2023-01-04 20:29:21.680567
78,WVU Cancer Institute,6350007,6350007,IHQCANC,48.0/100,,,,adult,2023-01-04 20:29:21.680567
79,Emory St. Joseph's Hospital,6380200,6380200,IHQCANC,47.6/100,,,,adult,2023-01-04 20:29:21.680567
80,Rutgers Cancer Institute of New Jersey/Robert Wood Johnson University Hospital,6220920,6220920,IHQCANC,47.6/100,,,,adult,2023-01-04 20:29:21.680567
81,Boston Medical Center,6140010,6140010,IHQCANC,47.4/100,,,,adult,2023-01-04 20:29:21.680567
82,MemorialCare Long Beach Medical Center,6931370,6931370,IHQCANC,47.4/100,,,,adult,2023-01-04 20:29:21.680567
83,Hackensack University Medical Center at Hackensack Meridian Health,6220340,6220340,IHQCANC,47.3/100,,,,adult,2023-01-04 20:29:21.680567
84,MedStar Washington Hospital Center,6330120,6330120,IHQCANC,47.3/100,,,,adult,2023-01-04 20:29:21.680567
85,West Penn Hospital,6232690,6232690,IHQCANC,47.2/100,,,,adult,2023-01-04 20:29:21.680567
86,MemorialCare Orange Coast Medical Center,6930775,6930775,IHQCANC,47.1/100,,,,adult,2023-01-04 20:29:21.680567
87,Beaumont Hospital-Royal Oak,6442245,6442245,IHQCANC,47.0/100,,,,adult,2023-01-04 20:29:21.680567
88,Scripps La Jolla Hospitals,6931130,6931130,IHQCANC,47.0/100,,,,adult,2023-01-04 20:29:21.680567
89,Banner Gateway Medical Center,6860043,6860043,IHQCANC,46.9/100,,,,adult,2023-01-04 20:29:21.680567
90,MetroHealth Medical Center,6410655,6410655,IHQCANC,46.9/100,,,,adult,2023-01-04 20:29:21.680567
91,Atrium Health Wake Forest Baptist Medical Center,6361700,6361700,IHQCANC,46.5/100,,,,adult,2023-01-04 20:29:21.680567
92,Northside Hospital Atlanta,6380171,6380171,IHQCANC,46.5/100,,,,adult,2023-01-04 20:29:21.680567
93,Loyola University Medical Center,6430841,6430841,IHQCANC,46.4/100,,,,adult,2023-01-04 20:29:21.680567
94,Banner-University Medical Center Tucson,6860516,6860516,IHQCANC,46.2/100,,,,adult,2023-01-04 20:29:21.680567
95,University Medical Center-Lubbock,6742372,6742372,IHQCANC,46.2/100,,,,adult,2023-01-04 20:29:21.680567
96,UF Health Shands Hospital,6390283,6390283,IHQCANC,45.8/100,,,,adult,2023-01-04 20:29:21.680567
97,Penn State Health Milton S. Hershey Medical Center,6230705,6230705,IHQCANC,45.6/100,,,,adult,2023-01-04 20:29:21.680567
98,OU Health Stephenson Cancer Center,6730024,6730024,IHQCANC,45.5/100,,,,adult,2023-01-04 20:29:21.680567
99,Providence Saint John's Health Center,6933450,6933450,IHQCANC,45.3/100,,,,adult,2023-01-04 20:29:21.680567
